contact_name,device_name,rssi,location,duration,date,contact
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:10 min,2022-05-10 10:34:00,[B@26b50b2
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:58:00,[B@2732e48
G834147.2.A.11.228,SM-G991B,0,"- , -",2:01 min,2022-05-11 06:10:00,[B@2798e2c
Lenovo TB-X505F,SM-G780F,0,"- , -",2:13 min,2022-05-03 01:29:00,[B@27d68b
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"55.72, 13.22",4:07 min,2022-05-11 11:57:00,[B@28735f3
SM-G780F,G8341,0,"55.71, 13.23",2:28 min,2022-05-09 01:17:00,[B@28f58e6
SM-G991BSP1A.210812.016,SM-G780F,-79,"- , -",24 sec,2022-05-10 11:29:00,[B@298b65d
Lenovo TB-X505F,SM-A700H,-77,"- , -",22 sec,2022-05-09 04:15:00,[B@29bcce2
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",31 sec,2022-05-10 10:51:00,[B@2a7b3f
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",3:37 min,2022-05-10 10:11:00,[B@2aa936d
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",1:48 min,2022-05-12 07:54:00,[B@2ae61ce
SM-G780F,SM-G991B,0,"- , -",10:01 min,2022-05-09 11:22:00,[B@2b1d449
Nokia 7.2,SM-G780F,0,"55.72, 13.21",25:59 min,2022-05-09 09:38:00,[B@2b479ce
SM-G991BSP1A.210812.016,SM-G780F,-77,"- , -",13 sec,2022-05-10 11:28:00,[B@2ba73c2
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"- , -",3:41 min,2022-05-12 02:17:00,[B@2bf079f
Nokia 7.2RKQ1.210607.001,Lenovo TB-X505F,0,"- , -",3:05 min,2022-05-10 02:17:00,[B@2c28adb
SM-G991B,SM-G780F,-95,"- , -",15 sec,2022-05-09 12:15:00,[B@2c67a3c
Nokia 7.2,SM-G991B,-28,"55.72, 13.21",53 sec,2022-05-09 01:09:00,[B@2c7016d
SM-G991B,G8341,0,"55.71, 13.23",2:03 min,2022-05-09 08:03:00,[B@2cb6eb2
SM-G991B,SM-G780F,0,"55.72, 13.21",52 sec,2022-05-09 10:01:00,[B@2d23c7
G8341,SM-G780F,0,"55.72, 13.21",2:11 min,2022-05-09 10:04:00,[B@2d29955
G8341,SM-G780F,-92,"55.72, 13.21",24 sec,2022-05-09 09:59:00,[B@2d88383
G8341,SM-G991B,0,"- , -",29 sec,2022-05-09 03:31:00,[B@2d8b87e
G8341,SM-G780F,0,"- , -",17:02 min,2022-05-09 03:42:00,[B@2e12e61
Nokia 7.2RKQ1.210607.001,G8341,-84,"55.72, 13.22",32 sec,2022-05-12 10:52:00,[B@2e153fd
Lenovo TB-X505F,SM-G780F,0,"- , -",58 sec,2022-05-12 03:39:00,[B@2eb18c7
SM-G991B,G8341,0,"55.71, 13.23",1:25 min,2022-05-09 01:09:00,[B@2eb52db
Lenovo TB-X505F,SM-G991B,-51,"55.72, 13.22",39 sec,2022-05-09 09:41:00,[B@2ebb68f
Lenovo TB-X505F,SM-G780F,0,"- , -",27 sec,2022-05-09 03:54:00,[B@2ec3b52
SM-G780F,SM-G991B,0,"- , -",3:58 min,2022-05-09 11:11:00,[B@2ec5482
SM-G780F,SM-G991B,0,"- , -",45:52 min,2022-05-09 01:15:00,[B@30b5764
Nokia 7.2,SM-G780F,-64,"55.72, 13.21",13 sec,2022-05-09 09:37:00,[B@3108f89
Lenovo TB-X505F,SM-G991B,-44,"- , -",1:01 min,2022-05-11 03:32:00,[B@316d204
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.22",41 sec,2022-05-03 05:43:00,[B@32305ac
G8341,SM-G991B,0,"- , -",3:54 min,2022-05-09 12:01:00,[B@325d9ec
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:38 min,2022-05-10 10:15:00,[B@33162ab
